arr_port^pax^Airport_Name
LHR     ^88809.0^London Heathrow Airport
MME     ^180.0^Durham Tees Valley Airport
PRI     ^180.0^Praslin Island Airport
IUE     ^180.0^Alofi / Niue
PKZ     ^180.0^Pakse International Airport
GIB     ^180.0^Gibraltar International Airport
KUA     ^180.0^Sultan Haji Ahmad Shah Airport
URY     ^180.0^Gurayat Domestic Airport
HIJ     ^180.0^Hiroshima Airport
PPP     ^180.0^Proserpine Airport
GZP     ^180.0^Gazipaşa-Alanya Airport
TMM     ^180.0^Toamasina Airport
UUD     ^180.0^Ulan-Ude Airport
OSD     ^180.0^Åre Östersund Airport
ACT     ^180.0^Waco Regional Airport
RCB     ^180.0^Richard Bay Airport
BVC     ^180.0^Aristides Pereira International Airport
URA     ^180.0^Oral Ak Zhol Airport
PWQ     ^180.0^Pavlodar Airport
TOE     ^180.0^Tozeur–Nefta International Airport
SGU     ^180.0^Saint George Municipal Airport
MGB     ^180.0^Mount Gambier Airport
HOV     ^180.0^Ørsta–Volda Airport, Hovden
RKS     ^170.0^Rock Springs-Sweetwater County Airport
YAM     ^170.0^Sault Ste. Marie Airport
FKB     ^170.0^Karlsruhe/Baden-Baden Airport
JHB     ^170.0^Johore Bharu / Senai
VOZ     ^170.0^Voronezh International Airport
PZB     ^170.0^Pieter Maritzburg
ENA     ^170.0^Kenai Municipal Airport
EXT     ^170.0^Exeter Airport
YXY     ^170.0^Erik Nielsen Whitehorse International Airport
YYB     ^170.0^North Bay/Jack Garland Airport
DNZ     ^170.0^Denizli Çardak Airport
EDL     ^170.0^Eldoret International Airport
LSI     ^170.0^Sumburgh Airport
YQX     ^170.0^Gander International Airport
LKN     ^170.0^Leknes Airport
LMP     ^170.0^Lampedusa Airport
DIR     ^160.0^Aba Tenna Dejazmach Yilma International Airport
THE     ^160.0^Teresina Airport
SNU     ^160.0^Abel Santamaría Airport
PLO     ^160.0^Port Lincoln Airport
DBO     ^160.0^Dubbo
VIG     ^160.0^Juan Pablo Pérez Alfonso Airport
EAT     ^160.0^Pangborn Field
RMI     ^160.0^Federico Fellini International Airport
HLN     ^160.0^Helena Regional Airport
CAB     ^160.0^Cabinda Airport
HVB     ^160.0^Hervey Bay Airport
FRW     ^160.0^Francistown Airport
SRG     ^160.0^Achmad Yani International Airport
BTM     ^160.0^Bert Mooney Airport
TRW     ^160.0^Bonriki International Airport
KGF     ^160.0^Karaganda Sary-Arka Airport
SON     ^160.0^Santo-Pekoa International Airport
IOM     ^160.0^Isle Of Man / Ronaldsway Airport
OGZ     ^160.0^Beslan Airport
ALF     ^160.0^Alta Lufthavn
KME     ^160.0^Kamembe International Airport
LET     ^160.0^Alfredo Vásquez Cobo International Airport
YQG     ^160.0^Windsor Airport
DIK     ^160.0^Dickinson Municipal Airport
KLO     ^160.0^Kalibo Airport
SRE     ^150.0^Alcantari International Airport
NVT     ^150.0^Navegantes–Ministro Victor Konder International Airport
ANR     ^150.0^Antwerp International Airport
CBQ     ^150.0^Calabar
UEL     ^150.0^Quelimane Airport
ARK     ^150.0^Arusha Airport
ZCL     ^150.0^General Leobardo C. Ruiz International Airport
ABI     ^150.0^Abilene Regional Airport
OMR     ^150.0^Oradea International Airport
VII     ^150.0^Vinh Airport
LMM     ^150.0^Los Mochis International Airport
ESM     ^150.0^General Rivadeneira Airport
BLZ     ^150.0^Chileka International Airport
LYP     ^150.0^Faisalabad International Airport
XDB     ^150.0^Gare de Lille Europe
EPR     ^150.0^Esperance Airport
TMW     ^150.0^Tamworth Airport
SPI     ^150.0^Abraham Lincoln Capital Airport
SWA     ^150.0^Jieyang Chaoshan Airport
PIH     ^150.0^Pocatello Regional Airport
ULV     ^150.0^Ulyanovsk Baratayevka Airport
MCZ     ^140.0^Maceió/Zumbi dos Palmares International Airport
FTU     ^140.0^Tôlanaro Airport
RIY     ^140.0^Riyan International Airport
HVN     ^140.0^Tweed-New Haven Airport
MDC     ^140.0^Sam Ratulangi International Airport
WUX     ^140.0^Wuxi Airport
MAG     ^140.0^Madang Airport
SJP     ^140.0^São José do Rio Preto Airport
YXT     ^140.0^Northwest Regional Airport Terrace-Kitimat
REN     ^140.0^Orenburg / Tsentralny
ACV     ^140.0^Arcata-Eureka Airport
SKD     ^140.0^Samarkand Airport
ARM     ^140.0^Armidale Airport
WLS     ^140.0^Hihifo Airport
LBS     ^140.0^Labasa Airport
MQF     ^140.0^Magnitogorsk International Airport
TAC     ^140.0^Tacloban Airport
GTR     ^140.0^Golden Triangle Regional Airport
STS     ^140.0^Sonoma County Airport
KOK     ^140.0^Kokkola-Pietarsaari Airport
BKG     ^140.0^Branson Airport
GOV     ^140.0^Gove Airport
YGK     ^140.0^Kingston/Norman Rogers Airport
YTS     ^140.0^Timmins/Victor M. Power Airport
EMA     ^140.0^East Midlands Airport
PLU     ^140.0^Carlos Drummond de Andrade Airport
MKK     ^140.0^Molokai Airport
CNQ     ^140.0^Corrientes International Airport
PPN     ^140.0^Guillermo León Valencia Airport
PGV     ^140.0^Pitt-Greenville Airport
DTM     ^140.0^Dortmund Airport
MPH     ^140.0^Godofredo P. Ramos Airport
CBT     ^140.0^Catumbela Airport
HAK     ^140.0^Meilan International Airport
DOM     ^140.0^Melville Hall Airport
SFL     ^140.0^São Filipe Airport
HFE     ^130.0^Hefei Xinqiao International Airport
DEA     ^130.0^Dera Ghazi Khan International Airport
AZR     ^130.0^Touat-Cheikh Sidi Mohamed Belkebir Airport
OER     ^130.0^Örnsköldsvik Airport
GEV     ^130.0^Gällivare Airport
IPT     ^130.0^Williamsport-Lycoming County Airport
GES     ^130.0^General Santos International Airport
SLY     ^130.0^Salekhard Airport
HJR     ^130.0^Khajuraho Civil Airport
TXK     ^130.0^Texarkana Regional Airport
BNK     ^130.0^Ballina Byron Gateway Airport
IOA     ^130.0^Ioannina National Airport
KWE     ^130.0^Guiyang Longdongbao International Airport
ENU     ^130.0^Enugu Airport
ROS     ^130.0^Rosario International Airport
NOS     ^130.0^Fascene Nosy Be Airport
PXM     ^130.0^Puerto Escondido International Airport
HTA     ^130.0^Kadala Airport
LTO     ^130.0^Loreto International Airport
ROW     ^130.0^Roswell Industrial Air Center Airport
YBL     ^130.0^Campbell River Airport
BLJ     ^130.0^Mostépha Ben Boulaid Airport
SPS     ^130.0^Sheppard Air Force Base/Wichita Falls Municipal Airport
BEW     ^130.0^Beira Airport
AHU     ^130.0^Cherif Al Idrissi Airport
HTS     ^130.0^Tri-State Airport
TTN     ^130.0^Trenton Mercer Airport
LZH     ^120.0^Liuzhou Bailian Airport
BDU     ^120.0^Bardufoss Airport
OSM     ^120.0^Mosul International Airport
VQS     ^120.0^Antonio Rivera Rodríguez Airport
GKA     ^120.0^Goroka Airport
QOW     ^120.0^Sam Mbakwe International Airport
ZFV     ^120.0^30th Street Station
UIP     ^120.0^Quimper-Pluguffan
HLM     ^120.0^Park Township Airport
BBK     ^120.0^Kasane Airport
PNL     ^120.0^Pantelleria Airport
SSJ     ^120.0^Sandnessjøen Airport, Stokka
BAX     ^120.0^Barnaul Airport
LPL     ^120.0^Liverpool Airport
HUX     ^120.0^Bahías de Huatulco International Airport
TMS     ^120.0^S. Tome
YWK     ^120.0^Wabush Airport
YQY     ^120.0^Sydney/J.A. Douglas McCurdy Airport
MOZ     ^120.0^Moorea-Temae Airport
MYW     ^120.0^Mtwara Airport
YYF     ^120.0^Penticton Regional Airport
YVO     ^120.0^Val-d'Or Airport
RYG     ^120.0^Rygge
NHA     ^120.0^Nha Trang Air Base
TUO     ^120.0^Taupo Airport
RFP     ^120.0^Raiatea Airport
SFN     ^120.0^Sauce Viejo Airport
AJU     ^120.0^Aracaju Aeroporto
ETR     ^110.0^Santa Rosa Regional Airport
CFR     ^110.0^Caen – Carpiquet Airport
AKN     ^110.0^King Salmon Airport
NMA     ^110.0^Namangan Airport
SKN     ^110.0^Storkmarknes / Skagen
OSS     ^110.0^Osh Airport
ZBF     ^110.0^Bathurst Airport
MJF     ^110.0^Mosjøen Airport, Kjærstad
JKG     ^110.0^Jönköping Airport
RMQ     ^110.0^Taichung Airport
BRW     ^110.0^Wiley Post-Will Rogers Memorial Airport
BDO     ^110.0^Husein Sastranegara International Airport
FMA     ^110.0^Formosa Aerodrome
IOS     ^110.0^Ilhéus Jorge Amado Airport
ASO     ^110.0^Assosa / Asosa
TAI     ^110.0^Ta'izz International Airport
LOH     ^110.0^Catamayo / Camilo Ponce Enriquez
MJV     ^110.0^Murcia–San Javier Airport
TDD     ^110.0^Teniente Jorge Henrich Arauz Airport
OND     ^110.0^Ondangwa Airport
WYA     ^110.0^Whyalla Airport
ANX     ^110.0^Andøya Andenes Airport
OLP     ^110.0^Olympic Dam Airport
KHS     ^110.0^Khassab
INH     ^110.0^Inhambane
SZF     ^110.0^Samsun-Çarşamba Airport
SHW     ^100.0^Sharurah Domestic Airport
MMO     ^100.0^Maio Airport
KAJ     ^100.0^Kajaani Airport
CRL     ^100.0^Brussels South Charleroi Airport
MAB     ^100.0^Marabá Airport
KSD     ^100.0^Karlstad Airport
TAY     ^100.0^Tartu Ülenurme Airport
HOG     ^100.0^Frank País International Airport
HAD     ^100.0^Halmstad Airport
MQT     ^100.0^Sawyer International Airport
KAN     ^100.0^Mallam Aminu Kano International Airport
MHH     ^100.0^Marsh Harbour Airport
MLO     ^100.0^Milos Island National Airport
SVJ     ^100.0^Svolvær Airport, Helle
GOP     ^100.0^Gorakhpur Airport
AOK     ^100.0^Karpathos Island National Airport
PDG     ^100.0^Minangkabau International Airport
LWB     ^100.0^Greenbrier Valley Airport
VNX     ^100.0^Vilanculos Airport
WEI     ^100.0^Weipa Airport
MAU     ^100.0^Maupiti Airport
TVU     ^100.0^Matei Airport
SNR     ^100.0^Saint-Nazaire - Montoir
GCC     ^100.0^Gillette-Campbell County Airport
BQS     ^100.0^Ignatyevo Airport
DIU     ^100.0^Diu Airport
SJZ     ^100.0^São Jorge Airport
RNN     ^100.0^Bornholm Rønne Airport
OAG     ^100.0^Orange Airport
OZH     ^100.0^Zaporizhia International Airport
BBO     ^100.0^Berbera Airport
AGT     ^100.0^Guaraní International Airport
PAS     ^100.0^Paros National Airport
VAN     ^90.0^Van Ferit Melen Airport
EAR     ^90.0^Kearney Municipal Airport
GUC     ^90.0^Gunnison County Airport
TAE     ^90.0^Daegu International Airport
GHA     ^90.0^Ghardaia
KOI     ^90.0^Kirkwall Airport
PQI     ^90.0^Northern Maine Regional Airport at Presque Isle
UIB     ^90.0^El Caraño Airport
KEM     ^90.0^Kemi-Tornio Airport
YKS     ^90.0^Yakutsk Airport
ZAL     ^90.0^Pichoy Airport
VAI     ^90.0^Vanimo Airport
HID     ^90.0^Horn Island Airport
ZAD     ^90.0^Zadar Airport
PBC     ^90.0^Hermanos Serdán International Airport
BHV     ^90.0^Bahawalpur Airport
WHK     ^90.0^Whakatane Airport
ABA     ^90.0^Abakan International Airport
ISG     ^90.0^Ishigaki Airport
GDQ     ^90.0^Gondar Airport
KWJ     ^90.0^Kwangju Ab
FMN     ^90.0^Four Corners Regional Airport
DAM     ^90.0^Damascus International Airport
BQK     ^90.0^Brunswick Golden Isles Airport
UKS     ^90.0^Sevastopol International Airport
FDE     ^90.0^Førde Airport, Bringeland
CYS     ^90.0^Cheyenne Airport
ZBL     ^90.0^Biloela
ABY     ^90.0^Southwest Georgia Regional Airport
OTZ     ^90.0^Ralph Wien Memorial Airport
DUT     ^90.0^Unalaska Airport
CMX     ^90.0^Houghton County Memorial Airport
MCP     ^90.0^Macapá-Alberto Alcolumbre International Airport
MDG     ^90.0^Mudanjiang Hailang International Airport
VDS     ^90.0^Vadsø Airport
MVY     ^90.0^Martha's Vineyard Airport
XDS     ^90.0^Ottawa Railway Station
JOE     ^90.0^Joensuu Airport
YHM     ^90.0^John C. Munro Hamilton International Airport
QYG     ^90.0^Generic Railway Station for Germany
HDS     ^90.0^AFB Hoedspruit
GRI     ^80.0^Central Nebraska Regional Airport
CLD     ^80.0^McClellan–Palomar Airport
UET     ^80.0^Quetta International Airport
PTG     ^80.0^Polokwane International Airport
SHR     ^80.0^Sheridan County Airport
RGA     ^80.0^Hermes Quijada International Airport
TEE     ^80.0^Cheikh Larbi Tébessa Airport
TBU     ^80.0^Fuaʻamotu International Airport
EFL     ^80.0^Cephalonia International Airport
DIL     ^80.0^Nicolau Lobato Airport
PVK     ^80.0^Aktion Airport
SMA     ^80.0^Santa Maria Airport
CBO     ^80.0^Awang Airport
GXF     ^80.0^Seiyun Airport
TAK     ^80.0^Takamatsu Airport
CLQ     ^80.0^Colima Airport
LIG     ^80.0^Limoges-Bellegarde
AGX     ^80.0^Agatti Airport
NAL     ^80.0^Nalchik Airport
LZC     ^80.0^Lázaro Cárdenas Airport
KHN     ^80.0^Nanchang Changbei International Airport
LOK     ^80.0^Lodwar
VRK     ^80.0^Varkaus Airport
KLR     ^80.0^Kalmar Öland Airport
ZAM     ^80.0^Zamboanga International Airport
PHW     ^80.0^Hendrik Van Eck Airport
KVG     ^80.0^Kavieng Airport
WAE     ^80.0^Wadi al-Dawasir Domestic Airport
KOE     ^80.0^Kupang El Tari Airport
KOJ     ^80.0^Kagoshima Airport
LAQ     ^80.0^Al Abraq International Airport
INI     ^80.0^Niš Constantine the Great Airport
JLN     ^80.0^Joplin Regional Airport
JAL     ^80.0^El Lencero Airport
LUO     ^80.0^Luena Airport
LUQ     ^80.0^Brigadier Mayor César Raúl Ojeda Airport
LFR     ^80.0^La Fría Airport
KYA     ^80.0^Konya Airport
MHQ     ^80.0^Mariehamn Airport
RRS     ^70.0^Røros Airport
HUH     ^70.0^Huahine – Fare Airport
WYS     ^70.0^Yellowstone Airport
CVM     ^70.0^General Pedro J. Méndez International Airport
OTH     ^70.0^Southwest Oregon Regional Airport
BRD     ^70.0^Brainerd Lakes Regional Airport
JRH     ^70.0^Jorhat Airport
QRW     ^70.0^Warri Airport
NLD     ^70.0^Quetzalcóatl International Airport
YKF     ^70.0^Kitchener/Waterloo Airport
LHW     ^70.0^Lanzhou Zhongchuan Airport
CBB     ^70.0^Jorge Wilstermann
RAB     ^70.0^Tokua Airport
BIM     ^70.0^South Bimini Airport
SOG     ^70.0^Sogndal / Haukåsen
NCU     ^70.0^Nukus / Karakalpakstan
ZOS     ^70.0^Cañal Bajo Carlos - Hott Siebert Airport
JPA     ^70.0^Presidente Castro Pinto International Airport
VXO     ^70.0^Växjö Småland Airport
ART     ^70.0^Watertown International Airport
LPT     ^70.0^Lampang Airport
JLR     ^70.0^Jabalpur Airport
LAI     ^70.0^Lannion
GFF     ^70.0^Griffith Airport
SUJ     ^70.0^Satu Mare International Airport
LWS     ^70.0^Lewiston–Nez Perce County Airport
NBE     ^70.0^Enfidha – Hammamet International Airport
NAV     ^70.0^Nevşehir Kapadokya Airport
LDH     ^70.0^Lord Howe Island Airport
CBH     ^70.0^Bechar
TEX     ^70.0^Telluride Regional Airport
AJR     ^70.0^Arvidsjaur Airport
PNI     ^70.0^Pohnpei International Airport
HGA     ^70.0^Egal International Airport - Hargeisa
BHQ     ^70.0^Broken Hill Airport
PLN     ^70.0^Pellston Regional Airport of Emmet County
GUR     ^70.0^Gurney Airport
PKE     ^70.0^Parkes Airport
BHK     ^70.0^Bukhara Airport
LEB     ^70.0^Lebanon Municipal Airport
CKS     ^70.0^Parauapebas Carajás Airport
BHB     ^70.0^Hancock County-Bar Harbor Airport
NGS     ^70.0^Nagasaki Airport
SUN     ^70.0^Friedman Memorial Airport
GNY     ^70.0^Şanlıurfa GAP Airport
SUX     ^70.0^Sioux Gateway Airport/Col. Bud Day Field
HOR     ^70.0^Horta Airport
DLG     ^60.0^Dillingham Airport
APO     ^60.0^Antonio Roldán Betancourt Airport
NAO     ^60.0^Nanchong Gaoping Airport
DBQ     ^60.0^Dubuque Regional Airport
JOI     ^60.0^Joinville
AQI     ^60.0^Al Qaisumah/Hafr Al Batin Airport
AGF     ^60.0^Agen-la-Garenne
AOE     ^60.0^Eskişehir Anadolu Airport
KRP     ^60.0^Midtjyllands Airport
KRO     ^60.0^Kurgan Airport
SCY     ^60.0^San Cristóbal Airport
CIC     ^60.0^Chico Municipal Airport
ZDH     ^60.0^Basel SBB Railway Station
KGC     ^60.0^Kingscote Airport
NDG     ^60.0^Qiqihar Sanjiazi Airport
KSY     ^60.0^Kars Airport
YXC     ^60.0^Cranbrook/Canadian Rockies International Airport
DWC     ^60.0^Dubai World Central - Al Maktoum International Airport
ESC     ^60.0^Delta County Airport
DCM     ^60.0^Castres–Mazamet Airport
CIY     ^60.0^Comiso Airport
MOD     ^60.0^Modesto City-County Airport
CEG     ^60.0^Hawarden
JYV     ^60.0^Jyväskylä Airport
TEB     ^60.0^Teterboro Airport
MVR     ^60.0^Salak Airport
DGE     ^60.0^Mudgee Airport
CFK     ^60.0^Chlef International Airport
MYA     ^60.0^Moruya Airport
YCG     ^60.0^West Kootenay Regional Airport
ALW     ^60.0^Walla Walla Regional Airport
TGG     ^60.0^Sultan Mahmud Airport
KNS     ^60.0^King Island Airport
ELU     ^60.0^Guemar Airport
MZH     ^60.0^Merzifon
MBI     ^60.0^Mbeya Airport
TBZ     ^60.0^Tabriz International Airport
TJU     ^60.0^Kulob Airport
AMH     ^60.0^Arba Minch Airport
YYR     ^60.0^CFB Goose Bay
BHY     ^60.0^Beihai Fucheng Airport
LEH     ^60.0^Le Havre – Octeville Airport
OBO     ^60.0^Tokachi-Obihiro Airport
PSE     ^60.0^Mercedita Airport
BPN     ^60.0^Sultan Aji Muhammad Sulaiman Airport
GRW     ^60.0^Graciosa Airport
HKK     ^60.0^Hokitika Aerodrome
TYN     ^60.0^Taiyuan Wusu International Airport
WAG     ^60.0^Wanganui Airport
GRO     ^60.0^Aeroport de Girona - Costa Brava
ILG     ^60.0^New Castle Airport
SVB     ^60.0^Sambava Airport
PUU     ^60.0^Tres de Mayo Airport
VSG     ^60.0^Luhansk International Airport
GOH     ^60.0^Nuuk Airport
PVH     ^60.0^Governador Jorge Teixeira de Oliveira International Airport
VCS     ^60.0^Con Dao Airport
BGF     ^60.0^Bangui Airport
LMT     ^60.0^Klamath Falls Airport
VLL     ^60.0^Valladolid Airport
HOD     ^60.0^Hodeidah Airport
VHC     ^60.0^Saurimo Airport
CYB     ^60.0^Sir Charles Kirkconnell International Airport
BCM     ^60.0^"Bacău ""George Enescu"" International Airport"
SVP     ^60.0^Bie Silva Porto
SRP     ^60.0^Stord / Soerstokken
TWF     ^60.0^Twin Falls Airport
TBN     ^60.0^Waynesville-St. Robert Regional Airport
LRS     ^60.0^Leros Municipal Airport
PPS     ^60.0^Puerto Princesa Airport
NVK     ^60.0^Narvik Airport, Framnes
NVI     ^60.0^Navoi International Airport
JHG     ^60.0^Xishuangbanna Gasa Airport
POR     ^60.0^Pori Airport
GDX     ^60.0^Sokol Airport
BPT     ^60.0^Jack Brooks Regional Airport
PNP     ^50.0^Girua Airport
PMW     ^50.0^Palmas–Brigadeiro Lysias Rodrigues Airport
YZV     ^50.0^Sept-Îles Airport
KSH     ^50.0^Shahid Ashrafi Esfahani Airport
LGP     ^50.0^Legazpi International Airport
BKZ     ^50.0^Bukoba Airport
TIN     ^50.0^Tindouf Airport
HMA     ^50.0^Hanty-Mansijsk
EGO     ^50.0^Belgorod International Airport
PIB     ^50.0^Hattiesburg–Laurel Regional Airport
YVP     ^50.0^Kuujjuaq Airport
USK     ^50.0^Usinsk Airport
PIR     ^50.0^Pierre Municipal Airport
SKE     ^50.0^Skien-Geiteryggen Airport
SDY     ^50.0^Sidney-Richland Municipal Airport
MLX     ^50.0^Malatya Erhaç Airport
KVD     ^50.0^Gyanca Airport
GST     ^50.0^Gustavus Airport
CGI     ^50.0^Cape Girardeau Municipal Airport
MRZ     ^50.0^Moree Airport
YYE     ^50.0^Northern Rockies Regional Airport
TKG     ^50.0^Radin Inten II Airport
SGD     ^50.0^Sønderborg Airport
AGR     ^50.0^Agra Airport
YKQ     ^50.0^Waskaganish Airport
PBD     ^50.0^Porbandar Airport
NZH     ^50.0^Manzhouli Airport
RUT     ^50.0^Rutland - Southern Vermont Regional Airport
YLL     ^50.0^Lloydminster Airport
LWY     ^50.0^Lawas Airport
RDZ     ^50.0^Rodez-Marcillac Airport
YCB     ^50.0^Cambridge Bay Airport
BYC     ^50.0^Yacuiba Airport
WSZ     ^50.0^Westport Airport
MYD     ^50.0^Malindi Airport
BVE     ^50.0^Brive–Souillac Airport
RGK     ^50.0^Gorno-Altaysk Airport
CZE     ^50.0^José Leonardo Chirino Airport
RHI     ^50.0^Rhinelander-Oneida County Airport
RIW     ^50.0^Riverton Regional Airport
LTX     ^50.0^Cotopaxi International Airport
ZAZ     ^50.0^Zaragoza Airport
LXA     ^50.0^Lhasa Gonggar Airport
JZH     ^50.0^Jiuzhai Huanglong Airport
STV     ^50.0^Surat Airport
YFB     ^50.0^Iqaluit Airport
TUK     ^50.0^Turbat International Airport
ZTH     ^50.0^Zakynthos International Airport
EUN     ^50.0^Hassan I Airport
AZS     ^50.0^Samaná El Catey International Airport
YKM     ^50.0^Yakima Air Terminal Airport
CTM     ^40.0^Chetumal International Airport
ZFQ     ^40.0^Gare de Bordeaux-Saint-Jean
MCW     ^40.0^Mason City Municipal Airport
LCE     ^40.0^La Ceiba Airport
LTK     ^40.0^Lattakia
LYC     ^40.0^Lycksele Airport
LMN     ^40.0^Limbang Airport
MCX     ^40.0^Uytash Airport
LAU     ^40.0^Manda Airport
TIH     ^40.0^Tikehau Airport
ZIG     ^40.0^Ziguinchor Airport
SVU     ^40.0^Savusavu Airport
THS     ^40.0^Sukhothai Airport
ZVE     ^40.0^Union Station
MAS     ^40.0^Momote Airport
THR     ^40.0^Mehrabad International Airport
ZUH     ^40.0^Zhuhai Jinwan Airport
ABB     ^40.0^Asaba International Airport
CND     ^40.0^Mihail Kogălniceanu International Airport
CMW     ^40.0^Ignacio Agramonte International Airport
LLI     ^40.0^Lalibela Airport
LRH     ^40.0^La Rochelle – Île de Ré Airport
DEC     ^40.0^Decatur Airport
KZS     ^40.0^Kastellorizo Island Public Airport
ACI     ^40.0^Alderney Airport
MUR     ^40.0^Marudi Airfield
XKH     ^40.0^Xieng Khouang Airport
JKL     ^40.0^Kalymnos Island National Airport
RAH     ^40.0^Rafha Domestic Airport
IFO     ^40.0^Ivano-Frankivsk International Airport
AZN     ^40.0^Andizhan Airport
IMT     ^40.0^Ford Airport
GGA     ^40.0^La Grandiosa Port
RBQ     ^40.0^Rurrenabaque
NQY     ^40.0^Newquay Cornwall Airport
XAP     ^40.0^Chapecó Airport
IYK     ^40.0^Inyokern Airport
NOV     ^40.0^Albano Machado Airport
NNY     ^40.0^Nanyang Jiangying Airport
TUP     ^40.0^Tupelo Regional Airport
JIJ     ^40.0^Jijiga Wilwal International Airport
XJN     ^40.0^Valladolid Bus Station
BRN     ^40.0^Bern Airport
BAY     ^40.0^Baia Mare International Airport
BNI     ^40.0^Benin City
BBB     ^40.0^Benson Municipal Airport
HKN     ^40.0^Hoskins Airport
HEA     ^40.0^Herat International Airport
PMY     ^40.0^Puerto Madryn, CHT
PLM     ^40.0^Sultan Mahmud Badaruddin II Airport
PKU     ^40.0^Sultan Syarif Kasim II International Airport
PKB     ^40.0^Wood County Airport
BJZ     ^40.0^Badajoz Airport
PIS     ^40.0^Poitiers–Biard Airport
VPE     ^40.0^Ngjiva Pereira Airport
PHO     ^40.0^Point Hope Airport
GMZ     ^40.0^La Gomera Airport
GMB     ^40.0^Gambella Airport
VDZ     ^40.0^Valdez Airport
GLN     ^40.0^Goulimime Airport
HUI     ^40.0^Phu Bai International Airport
AJI     ^40.0^Ağrı Airport
SYY     ^40.0^Stornoway Airport
KIT     ^40.0^Kithira Airport
TJA     ^40.0^Tarija Airport
EAU     ^40.0^Chippewa Valley Regional Airport
YQD     ^40.0^The Pas Airport
KLV     ^40.0^Karlovy Vary Airport
YTH     ^40.0^Thompson Municipal Airport
KID     ^40.0^Kristianstad Airport
YMN     ^40.0^Makkovik Airport
TOD     ^40.0^Tioman Airport
YJE     ^40.0^Alicante Railway Station
CAL     ^40.0^Campbeltown Airport
JTY     ^40.0^Astypalaia Airport
TKQ     ^40.0^Kigoma Airport
YTM     ^40.0^La Macaza / Mont-Tremblant International Inc Airport
ALS     ^40.0^San Luis Valley Regional Airport
MHC     ^40.0^Mocopulli Airport
KSA     ^40.0^Kosrae International Airport
BZG     ^40.0^Bydgoszcz Ignacy Jan Paderewski Airport
DRT     ^40.0^Del Rio International Airport
JST     ^40.0^Johnstown-Cambria County Airport
FEG     ^40.0^Fergana International Airport
FEN     ^40.0^Fernando de Noronha Airport
RSH     ^40.0^Russian Mission Airport
DQA     ^40.0^Daqing Sartu Airport
CNJ     ^30.0^Cloncurry Airport
SZB     ^30.0^Subang/Sultan Abdul Aziz Shah Airport
YRT     ^30.0^Rankin Inlet Airport
BHS     ^30.0^Bathurst Airport
ZWE     ^30.0^Antwerpen-Centraal station
TKS     ^30.0^Tokushima Airport
BJI     ^30.0^Bemidji-Beltrami County Airport
YTY     ^30.0^Yangzhou Taizhou Airport
BXU     ^30.0^Bancasi Airport
YQZ     ^30.0^Quesnel Airport
BBN     ^30.0^Bario Airport
YBG     ^30.0^Bagotville Airport
BVB     ^30.0^Boa Vista, Boa Vista Intl
XMS     ^30.0^Edmundo Carvajal Airport
TBW     ^30.0^Tambov Donskoye Airport
TCB     ^30.0^Treasure Cay Airport
TPQ     ^30.0^Amado Nervo International Airport
YCO     ^30.0^Kugluktuk Airport
TDX     ^30.0^Trat Airport
XCH     ^30.0^Christmas Island Airport
AOR     ^30.0^Sultan Abdul Halim Airport
TOY     ^30.0^Toyama Airport
WIC     ^30.0^Wick Airport
BWT     ^30.0^Wynyard Airport
UDJ     ^30.0^Uzhhorod
TFF     ^30.0^Tefé Airport
YXH     ^30.0^Medicine Hat Airport
AAB     ^30.0^Arrabury Airport
JHS     ^30.0^Sisimiut Airport
SRZ     ^30.0^El Trompillo Airport
RSD     ^30.0^Rock Sound International Airport
KUK     ^30.0^Kasigluk Airport
GAY     ^30.0^Gaya Airport
KTE     ^30.0^Kerteh Airport
MEH     ^30.0^Mehamn Airport
KCM     ^30.0^Kahramanmaraş Airport
RKD     ^30.0^Knox County Regional Airport
INL     ^30.0^Falls International Airport-Einarson Field
DHM     ^30.0^Kangra Airport
DIE     ^30.0^Arrachart Airport
KSM     ^30.0^St. Mary's Airport
MSJ     ^30.0^Misawa Air Base
HOM     ^30.0^Homer Airport
SHC     ^30.0^Shire Inda Selassie Airport
RMF     ^30.0^Marsa Alam International Airport
KNU     ^30.0^Kanpur Civil Airport
KMQ     ^30.0^Komatsu Airport
KMI     ^30.0^Miyazaki Airport
PAH     ^30.0^Barkley Regional Airport
HIN     ^30.0^Sacheon Airport
EBJ     ^30.0^Esbjerg Airport
RVK     ^30.0^Rørvik Airport, Ryum
NAA     ^30.0^Narrabri Airport
CPD     ^30.0^Coober Pedy Airport
LJG     ^30.0^Lijiang Sanyi Airport
PUW     ^30.0^Pullman–Moscow Regional Airport
IXD     ^30.0^Allahabad Airport
LPP     ^30.0^Lappeenranta Airport
ERZ     ^30.0^Erzurum Airport
LBE     ^30.0^Arnold Palmer Regional Airport
GOU     ^30.0^Garoua Airport
OSY     ^30.0^Namsos Lufthavn
RBR     ^30.0^Rio Branco
NYM     ^30.0^Nadym Airport
GTE     ^30.0^Groote Eylandt Airport
NYT     ^20.0^Naypyidaw Airport
HYS     ^20.0^Hays Municipal Airport
JBR     ^20.0^Jonesboro Municipal Airport
IAM     ^20.0^In Aménas Airport
IBA     ^20.0^Ibadan Airport
WNP     ^20.0^Naga Airport
XFN     ^20.0^Xiangfan Airport
OMD     ^20.0^Oranjemund Airport
WTL     ^20.0^Tuntutuliak Airport
